,Destination,Gare destination - code UIC,Prix par km
892,ARCACHON,87582668,0.016977669011930253
893,VERSAILLES CHANTIERS,87393009,0.03456328818309201
894,PARIS NORD,87271007,0.046924540266328474
895,AEROPORT CDG2 TGV ROISSY,87271494,0.035846923946391086
896,AURAY,87476200,0.036525172754195465
897,ST PIERRE DES CORPS,87571240,0.04343451282911286
898,BAR LE DUC,87175042,0.03163474692202462
899,AEROPORT CDG2 TGV ROISSY,87271494,0.04195011337868481
900,MARSEILLE ST CHARLES,87751008,0.04610181559273763
901,COLMAR,87182014,0.0336180265309831
902,ST PIERRE DES CORPS,87571240,0.04120267260579065
903,MONTAUBAN VILLE BOURBON,87611244,0.05613502749857766
904,CHATELLERAULT,87575142,0.03586661496704149
905,COLMAR,87182014,0.05869522109855245
906,NIMES,87775007,0.052556818181818184
907,BOURG ST MAURICE,87741793,0.05381259089964678
908,ST PIERRE DES CORPS,87571240,0.035440613026819924
909,MONTPELLIER SAINT-ROCH,87773002,0.06458651538293694
910,AEROPORT CDG2 TGV ROISSY,87271494,0.049686660698299016
911,LYON PART DIEU,87723197,0.10199862164024809
912,PARIS MONTPARNASSE 1 ET 2,87391003,0.048017932987258136
913,AIME LA PLAGNE,87741769,0.09422750424448217
914,PARIS GARE DE LYON,87686006,0.06000499001996007
915,DOUAI,87345009,0.0760339070125867
916,SALLANCHES COMBLOUX MEGEVE,87746438,0.06855479089465326
917,BAYONNE,87673004,0.08080808080808081
918,POITIERS,87575001,0.04540023894862605
919,ST PIERRE DES CORPS,87571240,0.07053831874834261
920,AVIGNON TGV,87318964,0.09058402860548272
921,PARIS AUSTERLITZ,87547000,0.03015873015873016
922,AEROPORT CDG2 TGV ROISSY,87271494,0.05522526093275202
923,VITRE,87471508,0.04513064133016627
924,MASSY TGV,87393702,0.030051403716884143
925,ARCACHON,87582668,0.07003686150605581
926,MONTPELLIER SUD DE FRANCE,87688887,0.07495069033530573
927,AIME LA PLAGNE,87741769,0.079852902547938
928,AEROPORT CDG2 TGV ROISSY,87271494,0.06978879706152433
929,PARIS MONTPARNASSE 1 ET 2,87391003,0.05476939203354298
930,NIMES,87775007,0.07957073681455307
931,REIMS,87171009,0.019869281045751634
932,AEROPORT CDG2 TGV ROISSY,87271494,0.06946076511293903
933,LILLE FLANDRES,87286005,0.06442357850808555
934,LE CROISIC,87481788,0.08909730363423213
935,LYON PERRACHE,87722025,0.04944054124381993
936,ARRAS,87342014,0.024691358024691357
937,ST PIERRE DES CORPS,87571240,0.059190031152647975
938,ANTIBES,87757674,0.08375469985738364
939,LANDRY,87741777,0.07873607873607874
940,FACTURE BIGANOS,87582478,0.06881386625274867
941,TOULOUSE MATABIAU,87611004,0.06873385012919897
942,CHAMPAGNE-ARDENNE,87171926,0.024519292811975738
943,CHAMPAGNE-ARDENNE,87171926,0.05877803557617942
944,ANGOULEME,87583005,0.07338740826573967
945,MASSY TGV,87393702,0.07330246913580248
946,ST PIERRE DES CORPS,87571240,0.06833654463712267
947,RENNES,87471003,0.09751090582499358
948,ARRAS,87342014,0.04869921824939126
949,PORNICHET,87481747,0.08755760368663595
950,BELFORT-MONTBELIARD TGV,87300822,0.06316327835315177
951,ROUEN RIVE DROITE,87411017,0.05823754789272031
952,ARCACHON,87582668,0.019390228345452228
953,AEROPORT CDG2 TGV ROISSY,87271494,0.024209989806320085
954,AEROPORT CDG2 TGV ROISSY,87271494,0.043528064146620846
955,ST MALO,87478107,0.05314009661835749
956,BAYONNE,87673004,0.04825396825396826
957,STRASBOURG,87212027,0.0867579908675799
