,Transporteur,Gare origine,Gare origine - code UIC,Destination,Gare destination - code UIC,Classe,Profil tarifaire,Prix minimum,Prix maximum
10365,TGV INOUI,STRASBOURG,87212027,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10371,TGV INOUI,LAVAL,87478404,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
10377,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
10379,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,BOURG ST MAURICE,87741793,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10381,TGV INOUI,BEZIERS,87781005,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10389,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,4.0,4.0
10397,TGV INOUI,METZ VILLE,87192039,PARIS EST,87113001,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10403,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,ST GERVAIS LES BAINS LE FAYET,87746479,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10405,TGV INOUI,DIJON VILLE,87713040,NANCY,87141002,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10407,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,ANNEMASSE,87745497,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10409,TGV INOUI,EPINAL,87144006,PARIS EST,87113001,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10413,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,NARBONNE,87781104,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10415,TGV INOUI,PARIS EST,87113001,CHARLEVILLE MEZIERES,87172007,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10419,TGV INOUI,PARIS EST,87113001,THIONVILLE,87191007,2,Tarif Elève - Etudiant - Apprenti,20.0,20.0
10423,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,NANCY,87141002,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10429,TGV INOUI,NANCY,87141002,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10435,TGV INOUI,NANCY,87141002,REMIREMONT,87144451,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10437,TGV INOUI,NANCY,87141002,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10439,TGV INOUI,NANCY,87141002,CANNES,87757625,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10443,TGV INOUI,MASSY TGV,87393702,LORRAINE TGV,87142109,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
10447,TGV INOUI,LORRAINE TGV,87142109,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10449,TGV INOUI,METZ VILLE,87192039,MEUSE TGV,87147322,2,Tarif Elève - Etudiant - Apprenti,3.0,3.0
10453,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10459,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10461,TGV INOUI,MEUSE TGV,87147322,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10471,TGV INOUI,BORDEAUX ST JEAN,87581009,MEUSE TGV,87147322,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10473,TGV INOUI,MEUSE TGV,87147322,LILLE EUROPE,87223263,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10477,TGV INOUI,MEUSE TGV,87147322,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
10479,TGV INOUI,LORRAINE TGV,87142109,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10481,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10485,TGV INOUI,EPINAL,87144006,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10487,TGV INOUI,VITRY LE FRANCOIS GARE,87174276,CHALONS EN CHAMPAGNE,87174003,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10489,TGV INOUI,MEUSE TGV,87147322,REMIREMONT,87144451,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
10493,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,BAR LE DUC,87175042,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10497,TGV INOUI,MEUSE TGV,87147322,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
10499,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,ST DIE DES VOSGES,87144014,2,Tarif Elève - Etudiant - Apprenti,7.0,7.0
10501,TGV INOUI,RETHEL,87172270,REIMS,87171009,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10505,TGV INOUI,COLMAR,87182014,NIMES,87775007,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10511,TGV INOUI,COLMAR,87182014,NIMES PONT DU GARD,87703975,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10513,TGV INOUI,COLMAR,87182014,NICE VILLE,87756056,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10517,TGV INOUI,COLMAR,87182014,LYON PART DIEU,87723197,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10521,TGV INOUI,COLMAR,87182014,MONTPELLIER SAINT-ROCH,87773002,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10523,TGV INOUI,DIJON VILLE,87713040,MULHOUSE VILLE,87182063,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10525,TGV INOUI,MULHOUSE VILLE,87182063,CHALON SUR SAONE,87725002,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10527,TGV INOUI,LORRAINE TGV,87142109,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10533,TGV INOUI,MULHOUSE VILLE,87182063,TOULON,87755009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10539,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,MEUSE TGV,87147322,2,Tarif Elève - Etudiant - Apprenti,2.0,2.0
10541,TGV INOUI,RETHEL,87172270,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
10543,TGV INOUI,MULHOUSE VILLE,87182063,ANTIBES,87757674,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10545,TGV INOUI,PARIS NORD,87271007,THIONVILLE,87191007,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10549,TGV INOUI,MULHOUSE VILLE,87182063,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10553,TGV INOUI,METZ VILLE,87192039,NIMES PONT DU GARD,87703975,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10557,TGV INOUI,VITRY LE FRANCOIS GARE,87174276,CHAMPAGNE-ARDENNE,87171926,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10563,TGV INOUI,STRASBOURG,87212027,THIONVILLE,87191007,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10565,TGV INOUI,COLMAR,87182014,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10575,TGV INOUI,STRASBOURG,87212027,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
10577,TGV INOUI,LYON PART DIEU,87723197,THIONVILLE,87191007,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10583,TGV INOUI,MULHOUSE VILLE,87182063,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
10585,TGV INOUI,STRASBOURG,87212027,LYON PERRACHE,87722025,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10589,TGV INOUI,COLMAR,87182014,CANNES,87757625,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10597,TGV INOUI,STRASBOURG,87212027,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10603,TGV INOUI,BOULOGNE VILLE,87317586,LILLE EUROPE,87223263,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10605,TGV INOUI,LANDRY,87741777,LILLE EUROPE,87223263,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10609,TGV INOUI,STRASBOURG,87212027,ANGOULEME,87583005,2,Tarif Elève - Etudiant - Apprenti,20.0,20.0
10617,TGV INOUI,BOULOGNE VILLE,87317586,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10623,TGV INOUI,STRASBOURG,87212027,LYON PART DIEU,87723197,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10635,TGV INOUI,DUNKERQUE,87281006,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10637,TGV INOUI,LILLE EUROPE,87223263,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10639,TGV INOUI,LYON PART DIEU,87723197,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
10643,TGV INOUI,PARIS NORD,87271007,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10647,TGV INOUI,CLUSES  74,87746370,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10653,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10657,TGV INOUI,TOURCOING,87286542,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10659,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,7.0,7.0
10661,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,ST MICHEL VALLOIRE,87742361,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10665,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,AGDE,87781278,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10671,TGV INOUI,LILLE FLANDRES,87286005,TOURCOING,87286542,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
10673,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,NIMES PONT DU GARD,87703975,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10677,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,SETE,87773200,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10679,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10681,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,BOURG ST MAURICE,87741793,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10683,TGV INOUI,LILLE FLANDRES,87286005,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10687,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10695,TGV INOUI,LILLE FLANDRES,87286005,LYON PERRACHE,87722025,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10701,TGV INOUI,LILLE FLANDRES,87286005,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,7.0,7.0
10707,TGV INOUI,NIMES,87775007,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10709,TGV INOUI,LE MANS,87396002,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
10711,TGV INOUI,AVIGNON TGV,87318964,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
10713,TGV INOUI,BESANCON - F COMTE TGV,87300863,CHALON SUR SAONE,87725002,2,Tarif Elève - Etudiant - Apprenti,3.0,3.0
10715,TGV INOUI,DIJON VILLE,87713040,BELFORT-MONTBELIARD TGV,87300822,2,Tarif Elève - Etudiant - Apprenti,3.0,3.0
10719,TGV INOUI,LILLE FLANDRES,87286005,MOUTIERS SALINS BRIDES L BAINS,87741728,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10721,TGV INOUI,MONTPELLIER SAINT-ROCH,87773002,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10725,TGV INOUI,ANGERS ST LAUD,87484006,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
10727,TGV INOUI,TGV HAUTE PICARDIE,87313882,SETE,87773200,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
10731,TGV INOUI,MARSEILLE ST CHARLES,87751008,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10733,TGV INOUI,MONTPELLIER SAINT-ROCH,87773002,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10737,TGV INOUI,BORDEAUX ST JEAN,87581009,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10739,TGV INOUI,BESANCON - F COMTE TGV,87300863,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
10745,TGV INOUI,ANGERS ST LAUD,87484006,AVIGNON TGV,87318964,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10751,TGV INOUI,ANGOULEME,87583005,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10755,TGV INOUI,AVIGNON TGV,87318964,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10757,TGV INOUI,BEZIERS,87781005,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
10759,TGV INOUI,MARSEILLE ST CHARLES,87751008,BELFORT-MONTBELIARD TGV,87300822,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10761,TGV INOUI,AVIGNON TGV,87318964,ROUEN RIVE DROITE,87411017,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10765,TGV INOUI,LILLE FLANDRES,87286005,ROUBAIX,87286732,2,Tarif Elève - Etudiant - Apprenti,4.0,4.0
10771,TGV INOUI,LE MANS,87396002,AVIGNON TGV,87318964,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10775,TGV INOUI,AVIGNON TGV,87318964,NICE VILLE,87756056,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10779,TGV INOUI,AVIGNON TGV,87318964,ST RAPHAEL VALESCURE,87757526,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10788,TGV INOUI,AVIGNON TGV,87318964,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10791,TGV INOUI,AVIGNON TGV,87318964,BEZIERS,87781005,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10794,TGV INOUI,MARSEILLE ST CHARLES,87751008,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10797,TGV INOUI,MASSY TGV,87393702,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,4.0,4.0
10800,TGV INOUI,LE MANS,87396002,AIX EN PROVENCE TGV,87319012,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10806,TGV INOUI,AVIGNON TGV,87318964,PERPIGNAN,87784009,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
10818,TGV INOUI,NANTES,87481002,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10821,TGV INOUI,AVIGNON TGV,87318964,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
10833,TGV INOUI,AVIGNON TGV,87318964,TGV HAUTE PICARDIE,87313882,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
10845,TGV INOUI,AIX EN PROVENCE TGV,87319012,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
10851,TGV INOUI,AVIGNON TGV,87318964,CANNES,87757625,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10857,TGV INOUI,AIX EN PROVENCE TGV,87319012,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10860,TGV INOUI,AVIGNON TGV,87318964,MACON VILLE,87725689,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10863,TGV INOUI,PARIS AUSTERLITZ,87547000,FUTUROSCOPE,87324095,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10866,TGV INOUI,TOURS,87571000,FUTUROSCOPE,87324095,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10869,TGV INOUI,AIX EN PROVENCE TGV,87319012,TOULON,87755009,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10875,TGV INOUI,AIX EN PROVENCE TGV,87319012,LYON PERRACHE,87722025,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10878,TGV INOUI,DOUAI,87345009,ST MICHEL VALLOIRE,87742361,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10884,TGV INOUI,ANCENIS,87481192,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10890,TGV INOUI,ALBERTVILLE,87741645,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10893,TGV INOUI,LYON PART DIEU,87723197,MANTES LA JOLIE,87381509,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
10905,TGV INOUI,ARRAS,87342014,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10908,TGV INOUI,LE POULIGUEN,87481762,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,22.0,22.0
10923,TGV INOUI,POITIERS,87575001,FUTUROSCOPE,87324095,2,Tarif Elève - Etudiant - Apprenti,4.0,4.0
10929,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,LIBOURNE,87584052,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10932,TGV INOUI,FUTUROSCOPE,87324095,CHATELLERAULT,87575142,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
10938,TGV INOUI,EVREUX - NORMANDIE,87387001,MOUTIERS SALINS BRIDES L BAINS,87741728,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10941,TGV INOUI,GUINGAMP,87473207,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10950,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,TOULOUSE MATABIAU,87611004,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10965,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,ST JEAN DE LUZ CIBOURE,87677120,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10971,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,ST BRIEUC,87473009,2,Tarif Elève - Etudiant - Apprenti,22.0,22.0
10980,TGV INOUI,MARSEILLE ST CHARLES,87751008,MANTES LA JOLIE,87381509,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10986,TGV INOUI,MASSY TGV,87393702,ST NAZAIRE,87481705,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
10989,TGV INOUI,BIARRITZ,87673400,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
11004,TGV INOUI,MASSY TGV,87393702,LAMBALLE,87473108,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11010,TGV INOUI,MASSY TGV,87393702,ALBERTVILLE,87741645,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
11013,TGV INOUI,LANNION,87473223,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11016,TGV INOUI,LA BAULE ESCOUBLAC,87481754,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,20.0,20.0
11019,TGV INOUI,MASSY TGV,87393702,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
11025,TGV INOUI,FACTURE BIGANOS,87582478,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11028,TGV INOUI,BIARRITZ,87673400,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
11031,TGV INOUI,MASSY TGV,87393702,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
11040,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,QUIMPER,87474098,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
11046,TGV INOUI,MASSY TGV,87393702,ST MICHEL VALLOIRE,87742361,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
11049,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,VANNES,87476606,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11052,TGV INOUI,MASSY PALAISEAU,87393579,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11058,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,ST NAZAIRE,87481705,2,Tarif Elève - Etudiant - Apprenti,20.0,20.0
11064,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,ARCACHON,87582668,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11067,TGV INOUI,LE MANS,87396002,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11070,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,BAYONNE,87673004,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
11073,TGV INOUI,MASSY TGV,87393702,LE POULIGUEN,87481762,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
11076,TGV INOUI,ANGERS ST LAUD,87484006,LE MANS,87396002,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11091,TGV INOUI,LE MANS,87396002,LA BAULE ESCOUBLAC,87481754,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
11094,TGV INOUI,LE MANS,87396002,LYON-SAINT EXUPERY TGV,87762906,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
11112,TGV INOUI,MASSY TGV,87393702,ST AVRE LA CHAMBRE,87741306,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11130,TGV INOUI,MASSY TGV,87393702,LE CROISIC,87481788,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
11145,TGV INOUI,LE MANS,87396002,LE POULIGUEN,87481762,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
11148,TGV INOUI,MASSY TGV,87393702,LA BAULE ESCOUBLAC,87481754,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
11157,TGV INOUI,LYON-SAINT EXUPERY TGV,87762906,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11160,TGV INOUI,MASSY TGV,87393702,GUINGAMP,87473207,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11163,TGV INOUI,MASSY TGV,87393702,TARBES,87671008,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
11169,TGV INOUI,LE MANS,87396002,ST BRIEUC,87473009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11172,TGV INOUI,TOURS,87571000,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,7.0,7.0
11178,TGV INOUI,MASSY TGV,87393702,ST JEAN DE MAURIENNE ARVAN,87742320,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
11184,TGV INOUI,LE MANS,87396002,CHAMBERY CHALLES LES EAUX,87741009,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11193,TGV INOUI,LYON PART DIEU,87723197,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11196,TGV INOUI,MASSY TGV,87393702,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
11199,TGV INOUI,MARSEILLE ST CHARLES,87751008,ROUEN RIVE DROITE,87411017,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11208,TGV INOUI,MASSY TGV,87393702,QUIMPERLE,87476317,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
11211,TGV INOUI,CHAMBERY CHALLES LES EAUX,87741009,BERNAY,87444299,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11230,TGV INOUI,RENNES,87471003,QUIMPER,87474098,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11242,TGV INOUI,LE HAVRE,87413013,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
11246,TGV INOUI,LE MANS,87396002,NIMES PONT DU GARD,87703975,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11250,TGV INOUI,LORIENT,87476002,REDON,87471300,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11262,TGV INOUI,BOURG ST MAURICE,87741793,LISIEUX,87444265,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11266,TGV INOUI,CAEN,87444000,ALBERTVILLE,87741645,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11270,TGV INOUI,LISON,87447219,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11274,TGV INOUI,RENNES,87471003,REDON,87471300,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11294,TGV INOUI,LANDRY,87741777,ST BRIEUC,87473009,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
11298,TGV INOUI,BAYEUX,87444067,CHAMBERY CHALLES LES EAUX,87741009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
11302,TGV INOUI,MODANE,87742007,ST BRIEUC,87473009,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
11326,TGV INOUI,MODANE,87742007,BREST,87474007,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
11330,TGV INOUI,BREST,87474007,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
11338,TGV INOUI,GUINGAMP,87473207,BOURG ST MAURICE,87741793,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
11346,TGV INOUI,LAMBALLE,87473108,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11350,TGV INOUI,LAMBALLE,87473108,MORLAIX,87474338,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
11354,TGV INOUI,CAEN,87444000,LANDRY,87741777,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
