,Transporteur,Gare origine,Gare origine - code UIC,Destination,Gare destination - code UIC,Classe,Profil tarifaire,Prix minimum,Prix maximum
14428,TGV INOUI,PERPIGNAN,87784009,NARBONNE,87781104,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
14429,TGV INOUI,AIX EN PROVENCE TGV,87319012,MACON VILLE,87725689,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
14431,TGV INOUI,ANGERS ST LAUD,87484006,MOUTIERS SALINS BRIDES L BAINS,87741728,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14432,TGV INOUI,LYON-SAINT EXUPERY TGV,87762906,ORANGE,87765107,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
14433,TGV INOUI,LAVAL,87478404,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14437,TGV INOUI,MONTPELLIER SAINT-ROCH,87773002,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14438,TGV INOUI,ORTHEZ,87672253,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14442,TGV INOUI,MASSY TGV,87393702,MONTPELLIER SAINT-ROCH,87773002,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14445,TGV INOUI,LYON PERRACHE,87722025,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14449,TGV INOUI,AIX EN PROVENCE TGV,87319012,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14451,TGV INOUI,NANTES,87481002,SALLANCHES COMBLOUX MEGEVE,87746438,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14452,TGV INOUI,AGDE,87781278,SETE,87773200,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
14453,TGV INOUI,ST JEAN DE MAURIENNE ARVAN,87742320,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14454,TGV INOUI,MASSY TGV,87393702,LYON-SAINT EXUPERY TGV,87762906,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
14455,TGV INOUI,LAVAL,87478404,LANDERNEAU,87474239,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14458,TGV INOUI,MORLAIX,87474338,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14460,TGV INOUI,NIMES,87775007,LYON-SAINT EXUPERY TGV,87762906,2,Tarif Elève - Etudiant - Apprenti,7.0,7.0
14463,TGV INOUI,LE CROISIC,87481788,ST NAZAIRE,87481705,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
14464,TGV INOUI,PERPIGNAN,87784009,SETE,87773200,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14465,TGV INOUI,ARRAS,87342014,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14467,TGV INOUI,ANGERS ST LAUD,87484006,CLUSES  74,87746370,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14469,TGV INOUI,LE MANS,87396002,AURAY,87476200,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14473,TGV INOUI,LAVAL,87478404,DOL DE BRETAGNE,87478073,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14474,TGV INOUI,MODANE,87742007,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14476,TGV INOUI,NANTES,87481002,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14477,TGV INOUI,ARRAS,87342014,VALENCIENNES,87343004,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
14478,TGV INOUI,LE MANS,87396002,BOURG ST MAURICE,87741793,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14479,TGV INOUI,LORIENT,87476002,ST GERVAIS LES BAINS LE FAYET,87746479,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14482,TGV INOUI,CHAMBERY CHALLES LES EAUX,87741009,AURAY,87476200,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14486,TGV INOUI,LE CROISIC,87481788,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,22.0,22.0
14487,TGV INOUI,LE MANS,87396002,MORLAIX,87474338,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14497,TGV INOUI,LANDRY,87741777,VANNES,87476606,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14501,TGV INOUI,LANDRY,87741777,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14503,TGV INOUI,ANCENIS,87481192,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
14505,TGV INOUI,MASSY TGV,87393702,ST GERVAIS LES BAINS LE FAYET,87746479,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14506,TGV INOUI,NANTES,87481002,NIMES PONT DU GARD,87703975,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14509,TGV INOUI,LANDRY,87741777,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14510,TGV INOUI,DOUAI,87345009,VALENCIENNES,87343004,2,Tarif Elève - Etudiant - Apprenti,8.0,8.0
14511,TGV INOUI,MASSY TGV,87393702,ARCACHON,87582668,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14514,TGV INOUI,MASSY TGV,87393702,SALLANCHES COMBLOUX MEGEVE,87746438,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14515,TGV INOUI,CHAMBERY CHALLES LES EAUX,87741009,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14516,TGV INOUI,BREST,87474007,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14517,TGV INOUI,MASSY TGV,87393702,MOUTIERS SALINS BRIDES L BAINS,87741728,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14519,TGV INOUI,QUIMPERLE,87476317,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
14527,TGV INOUI,MODANE,87742007,AURAY,87476200,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14528,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,TARBES,87671008,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
14530,TGV INOUI,SURGERES,87485227,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14531,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,AURAY,87476200,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14532,TGV INOUI,MODANE,87742007,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
14535,TGV INOUI,LE MANS,87396002,ANCENIS,87481192,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14538,TGV INOUI,LE MANS,87396002,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14539,TGV INOUI,ST MAIXENT DEUX SEVRES,87485490,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
14540,TGV INOUI,LA TESTE,87582643,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14541,TGV INOUI,MASSY TGV,87393702,PLOUARET TREGOR,87473181,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14542,TGV INOUI,ANGERS ST LAUD,87484006,PORNICHET,87481747,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
