Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;LORIENT;87476002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;106.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;QUIMPER;87474098;2;Tarif Normal;20.0;107.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;15.0;48.0
TGV INOUI;BREST;87474007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;104.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AIX LES BAINS LE REVARD;87741132;1;Tarif Normal;31.0;155.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NANTES;87481002;1;Tarif Normal;24.0;147.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST PIERRE DES CORPS;87571240;2;Tarif Réglementé;48.8;69.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST PIERRE DES CORPS;87571240;2;Tarif Normal;15.0;71.0
TGV INOUI;ST MAIXENT DEUX SEVRES;87485490;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;93.0
TGV INOUI;LA ROCHE SUR FORON;87746305;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;50.0;165.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;1;Tarif Normal;24.0;130.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MOUTIERS SALINS BRIDES L BAINS;87741728;1;Tarif Réglementé;174.0;174.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIMES - MANDUEL;87688762;1;Tarif Normal;31.0;184.0
TGV INOUI;BEZIERS;87781005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;101.9;120.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Réglementé;160.0;160.0
TGV INOUI;CARCASSONNE;87615286;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;30.0;120.0
TGV INOUI;LA ROCHE SUR FORON;87746305;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;44.0;112.0
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;PARIS EST;87113001;2;Tarif Réglementé;38.4;45.0
TGV INOUI;LYON PERRACHE;87722025;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;146.0;146.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;DOUAI;87345009;1;Tarif Réglementé;68.0;68.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;20.0;87.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SALLANCHES COMBLOUX MEGEVE;87746438;2;Tarif Réglementé;93.6;123.0
TGV INOUI;LORRAINE TGV;87142109;PARIS EST;87113001;2;Tarif Normal;20.0;84.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;DOUAI;87345009;2;Tarif Réglementé;39.5;54.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VALENCE VILLE;87761007;1;Tarif Normal;31.0;160.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST BRIEUC;87473009;1;Tarif Normal;24.0;159.0
TGV INOUI;PARIS EST;87113001;CHALONS EN CHAMPAGNE;87174003;1;Tarif Normal;17.0;70.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIORT;87485300;2;Tarif Normal;20.0;100.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;RENNES;87471003;2;Tarif Réglementé;73.8;93.0
TGV INOUI;METZ VILLE;87192039;PARIS EST;87113001;2;Tarif Réglementé;64.4;80.0
TGV INOUI;ONVILLE;87192435;PARIS EST;87113001;2;Tarif Normal;20.0;50.0
TGV INOUI;MULHOUSE VILLE;87182063;PARIS EST;87113001;1;Tarif Normal;24.0;182.0
TGV INOUI;PARIS EST;87113001;ST DIE DES VOSGES;87144014;2;Tarif Normal;25.0;93.0
TGV INOUI;MEUSE TGV;87147322;PARIS EST;87113001;2;Tarif Normal;15.0;47.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TOULOUSE MATABIAU;87611004;2;Tarif Normal;25.0;134.0
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;PARIS EST;87113001;2;Tarif Normal;15.0;47.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;2;Tarif Normal;20.0;88.0
TGV INOUI;METZ VILLE;87192039;PARIS EST;87113001;1;Tarif Normal;24.0;123.0
TGV INOUI;COLMAR;87182014;PARIS EST;87113001;2;Tarif Réglementé;91.5;116.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MICHEL VALLOIRE;87742361;2;Tarif Normal;25.0;128.0
TGV INOUI;FORBACH;87193003;PARIS EST;87113001;1;Tarif Normal;29.0;144.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Réglementé;93.6;123.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ANNEMASSE;87745497;2;Tarif Réglementé;90.4;112.0
TGV INOUI;PARIS EST;87113001;REIMS;87171009;2;Tarif Réglementé;36.4;45.0
TGV INOUI;MULHOUSE VILLE;87182063;NANCY;87141002;2;Tarif Normal;12.0;30.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ANTIBES;87757674;2;Tarif Normal;25.0;138.0
TGV INOUI;BORDEAUX ST JEAN;87581009;NANCY;87141002;1;Tarif Normal;36.0;201.0
TGV INOUI;NANCY;87141002;EPINAL;87144006;1;Tarif Réglementé;26.0;26.0
TGV INOUI;BEZIERS;87781005;NANCY;87141002;2;Tarif Normal;25.0;120.0
TGV INOUI;PARIS EST;87113001;BAR LE DUC;87175042;1;Tarif Réglementé;73.0;73.0
TGV INOUI;PARIS EST;87113001;THIONVILLE;87191007;2;Tarif Normal;20.0;90.0
TGV INOUI;NANCY;87141002;ST RAPHAEL VALESCURE;87757526;1;Tarif Normal;31.0;199.0
TGV INOUI;NANCY;87141002;PARIS NORD;87271007;1;Tarif Normal;24.0;123.0
TGV INOUI;PARIS EST;87113001;REIMS;87171009;1;Tarif Réglementé;62.0;62.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;LILLE FLANDRES;87286005;2;Tarif Normal;10.0;65.0
TGV INOUI;BASEL SBB;85109;MULHOUSE VILLE;87182063;2;Tarif Normal;9.0;9.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;TOULON;87755009;2;Tarif Normal;16.0;99.0
TGV INOUI;NANCY;87141002;SARREBOURG;87215012;2;Tarif Réglementé;15.0;19.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10.0;99.0
TGV INOUI;NANCY;87141002;LILLE EUROPE;87223263;1;Tarif Normal;29.0;129.0
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;BORDEAUX ST JEAN;87581009;2;Tarif Normal;19.0;99.0
TGV INOUI;MEUSE TGV;87147322;NANCY;87141002;1;Tarif Réglementé;35.0;35.0
OUIGO;AVIGNON TGV;87318964;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10.0;35.0
TGV INOUI;LUNEVILLE;87141150;PARIS EST;87113001;2;Tarif Réglementé;69.6;85.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;RENNES;87471003;2;Tarif Normal;10.0;89.0
TGV INOUI;NANCY;87141002;LILLE EUROPE;87223263;2;Tarif Normal;25.0;102.0
OUIGO;AIX EN PROVENCE TGV;87319012;CANNES;87757625;2;Tarif Normal;10.0;39.0
TGV INOUI;ANGERS ST LAUD;87484006;NANCY;87141002;2;Tarif Normal;25.0;112.0
OUIGO;TGV HAUTE PICARDIE;87313882;AVIGNON TGV;87318964;2;Tarif Normal;19.0;99.0
TGV INOUI;NANCY;87141002;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;15.0;63.0
OUIGO;TOURCOING;87286542;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;19.0;99.0
TGV INOUI;NANCY;87141002;RENNES;87471003;1;Tarif Normal;31.0;166.0
OUIGO;LE MANS;87396002;NANTES;87481002;2;Tarif Normal;10.0;35.0
TGV INOUI;ONVILLE;87192435;PARIS EST;87113001;1;Tarif Normal;24.0;82.0
OUIGO;LILLE FLANDRES;87286005;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;16.0;99.0
TGV INOUI;STRASBOURG;87212027;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;153.0;153.0
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;NANTES;87481002;2;Tarif Normal;16.0;85.0
TGV INOUI;NANCY;87141002;LE CREUSOT MONTCEAU MONTCHANIN;87694109;1;Tarif Normal;31.0;108.0
OUIGO;ALBERTVILLE;87741645;GRENOBLE;87747006;2;Tarif Normal;10.0;29.0
TGV INOUI;NANCY;87141002;CHALON SUR SAONE;87725002;2;Tarif Normal;20.0;48.0
OUIGO;AIME LA PLAGNE;87741769;GRENOBLE;87747006;2;Tarif Normal;10.0;39.0
TGV INOUI;PARIS EST;87113001;TOUL;87141044;1;Tarif Normal;35.0;118.0
OUIGO;BORDEAUX ST JEAN;87581009;MONTAUBAN VILLE BOURBON;87611244;2;Tarif Normal;10.0;35.0
TGV INOUI;PARIS EST;87113001;REMIREMONT;87144451;1;Tarif Réglementé;137.0;137.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;NIMES PONT DU GARD;87703975;2;Tarif Normal;16.0;99.0
TGV INOUI;NANCY;87141002;EPINAL;87144006;2;Tarif Normal;7.0;18.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;POITIERS;87575001;2;Tarif Normal;10.0;79.0
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17.0;100.0
OUIGO;TOURCOING;87286542;BORDEAUX ST JEAN;87581009;2;Tarif Normal;19.0;99.0
TGV INOUI;NANCY;87141002;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;25.0;147.0
OUIGO;MASSY TGV;87393702;ST PIERRE DES CORPS;87571240;2;Tarif Normal;10.0;69.0
TGV INOUI;EVREUX - NORMANDIE;87387001;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17.0;52.0
OUIGO;LILLE FLANDRES;87286005;LYON PART DIEU;87723197;2;Tarif Normal;16.0;99.0
TGV INOUI;LUNEVILLE;87141150;SAVERNE;87212225;1;Tarif Réglementé;27.0;27.0
OUIGO;TOURCOING;87286542;NIMES PONT DU GARD;87703975;2;Tarif Normal;19.0;99.0
TGV INOUI;NANCY;87141002;IS SUR TILLE;87713859;2;Tarif Normal;5.0;40.0
OUIGO;MASSY TGV;87393702;POITIERS;87575001;2;Tarif Normal;10.0;79.0
TGV INOUI;PARIS EST;87113001;CHALONS EN CHAMPAGNE;87174003;2;Tarif Réglementé;36.4;45.0
OUIGO;ALBERTVILLE;87741645;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10.0;35.0
TGV INOUI;AVIGNON CENTRE;87765008;NANCY;87141002;1;Tarif Normal;49.0;153.0
OUIGO;RENNES;87471003;LAVAL;87478404;2;Tarif Normal;10.0;19.0
TGV INOUI;MASSY TGV;87393702;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;27.5;36.0
OUIGO;TOULON;87755009;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;10.0;19.0
TGV INOUI;PARIS EST;87113001;SAVERNE;87212225;2;Tarif Réglementé;72.8;88.0
OUIGO;MONTPELLIER SUD DE FRANCE;87688887;NIMES PONT DU GARD;87703975;2;Tarif Normal;10.0;10.0
TGV INOUI;TOUL;87141044;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;25.0;137.0
OUIGO;TOULON;87755009;LES ARCS DRAGUIGNAN;87755447;2;Tarif Normal;10.0;16.0
TGV INOUI;NANCY;87141002;RENNES;87471003;2;Tarif Normal;25.0;121.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;16.0;99.0
TGV INOUI;NANCY;87141002;LUNEVILLE;87141150;2;Tarif Normal;8.0;8.5
OUIGO;MARNE LA VALLEE CHESSY;87111849;ANGOULEME;87583005;2;Tarif Normal;10.0;99.0
TGV INOUI;NANCY;87141002;MARSEILLE ST CHARLES;87751008;1;Tarif Normal;31.0;182.0
OUIGO;NIMES PONT DU GARD;87703975;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10.0;39.0
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;NANCY;87141002;1;Tarif Réglementé;58.0;58.0
OUIGO;LE MANS;87396002;ANGERS ST LAUD;87484006;2;Tarif Normal;10.0;19.0
TGV INOUI;NANCY;87141002;VENDOME VILLIERS SUR LOIR;87571216;2;Tarif Normal;25.0;106.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;TOURCOING;87286542;2;Tarif Normal;10.0;59.0
TGV INOUI;NANCY;87141002;SARREBOURG;87215012;1;Tarif Normal;10.0;36.0
OUIGO;LYON-SAINT EXUPERY TGV;87762906;NIMES;87775007;2;Tarif Normal;10.0;59.0
TGV INOUI;PARIS EST;87113001;SARREBOURG;87215012;1;Tarif Réglementé;133.0;133.0
OUIGO;PARIS GARE DE LYON;87686006;NIMES PONT DU GARD;87703975;2;Tarif Normal;19.0;99.0
TGV INOUI;NANCY;87141002;CHALON SUR SAONE;87725002;2;Tarif Réglementé;36.0;46.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;ST PIERRE DES CORPS;87571240;2;Tarif Normal;10.0;69.0
TGV INOUI;NANCY;87141002;LYON PART DIEU;87723197;1;Tarif Réglementé;106.0;106.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;16.0;99.0
TGV INOUI;NANCY;87141002;NICE VILLE;87756056;2;Tarif Réglementé;112.3;140.0
OUIGO;ANTIBES;87757674;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10.0;85.0
TGV INOUI;MASSY TGV;87393702;NANCY;87141002;1;Tarif Normal;24.0;118.0
OUIGO;LILLE FLANDRES;87286005;AVIGNON TGV;87318964;2;Tarif Normal;19.0;99.0
TGV INOUI;NEUFCHATEAU;87141291;BEAUNE;87713545;1;Tarif Normal;17.0;67.0
OUIGO;TOURCOING;87286542;LYON PART DIEU;87723197;2;Tarif Normal;16.0;99.0
TGV INOUI;NANCY;87141002;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;20.0;84.0
OUIGO TRAIN CLASSIQUE;DIJON VILLE;87713040;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10.0;49.0
TGV INOUI;MOUCHARD;87718833;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24.0;124.0
OUIGO;PARIS GARE DE LYON;87686006;CANNES;87757625;2;Tarif Normal;19.0;99.0
TGV INOUI;AVIGNON TGV;87318964;NEUFCHATEAU;87141291;2;Tarif Normal;25.0;88.0
OUIGO TRAIN CLASSIQUE;SAUMUR;87487603;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10.0;49.0
TGV INOUI;NANCY;87141002;BEAUNE;87713545;1;Tarif Normal;22.0;87.0
OUIGO TRAIN CLASSIQUE;ANGERS ST LAUD;87484006;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10.0;49.0
TGV INOUI;MACON LOCHE TGV;87725705;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;87.0
OUIGO TRAIN CLASSIQUE;MELUN;87682005;DIJON VILLE;87713040;2;Tarif Normal;10.0;49.0
TGV INOUI;LUNEVILLE;87141150;PARIS NORD;87271007;2;Tarif Réglementé;69.6;85.0
OUIGO TRAIN CLASSIQUE;DIJON VILLE;87713040;LYON PERRACHE;87722025;2;Tarif Normal;10.0;49.0
TGV INOUI;LYON PERRACHE;87722025;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;109.0
OUIGO TRAIN CLASSIQUE;ANGERS ST LAUD;87484006;SAUMUR;87487603;2;Tarif Normal;10.0;49.0
TGV INOUI;NANCY;87141002;AGDE;87781278;2;Tarif Normal;25.0;118.0
OUIGO TRAIN CLASSIQUE;MACON VILLE;87725689;LYON PART DIEU;87723197;2;Tarif Normal;10.0;49.0
TGV INOUI;NANCY;87141002;LYON PERRACHE;87722025;1;Tarif Réglementé;106.0;106.0
OUIGO TRAIN CLASSIQUE;JUVISY;87545244;LE MANS;87396002;2;Tarif Normal;10.0;49.0
TGV INOUI;MASSY TGV;87393702;LORRAINE TGV;87142109;1;Tarif Réglementé;118.0;118.0
OUIGO TRAIN CLASSIQUE;SAUMUR;87487603;JUVISY;87545244;2;Tarif Normal;10.0;49.0
TGV INOUI;LYON PART DIEU;87723197;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;146.0;146.0
OUIGO TRAIN CLASSIQUE;PARIS BERCY;87686667;DIJON VILLE;87713040;2;Tarif Normal;10.0;49.0
TGV INOUI;MACON VILLE;87725689;TOUL;87141044;2;Tarif Normal;20.0;54.0
OUIGO TRAIN CLASSIQUE;LES AUBRAIS;87543017;JUVISY;87545244;2;Tarif Normal;10.0;49.0
TGV INOUI;NANCY;87141002;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;56.0;56.0
TGV INOUI;IRUN;71116000;ST JEAN DE LUZ CIBOURE;87677120;1;Tarif Normal;8.0;9.0
TGV INOUI;NANCY;87141002;MACON VILLE;87725689;1;Tarif Réglementé;92.0;92.0
OUIGO TRAIN CLASSIQUE;ANGERS ST LAUD;87484006;ST PIERRE DES CORPS;87571240;2;Tarif Normal;10.0;49.0
TGV INOUI;TOUL;87141044;CHALON SUR SAONE;87725002;2;Tarif Normal;15.0;47.0
TGV INOUI;QUIMPERLE;87476317;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;113.0
TGV INOUI;NIMES;87775007;TOUL;87141044;2;Tarif Normal;25.0;89.0
TGV INOUI;MENTON;87756486;VENTIMIGLIA STAZIONE;8345013;2;Tarif Normal;2.0;2.0
